Source,Target,Type,Relation,Weight,Year,Project,Level1,Level2
P::AI+X科学计算平台,L2::人工智能,Undirected,培养项目-二级学科,20,overall,AI+X科学计算平台,,人工智能
P::AI+X科学计算平台,L2::计算机技术,Undirected,培养项目-二级学科,49,overall,AI+X科学计算平台,,计算机技术
P::AI海洋工程安全保障技术与应用,L2::土木水利（海洋学院）,Undirected,培养项目-二级学科,28,overall,AI海洋工程安全保障技术与应用,,土木水利（海洋学院）
P::AI海洋工程安全保障技术与应用,L2::电子信息（海洋学院）,Undirected,培养项目-二级学科,12,overall,AI海洋工程安全保障技术与应用,,电子信息（海洋学院）
P::GF通信与信号处理技术,L2::电子信息（信电学院）,Undirected,培养项目-二级学科,16,overall,GF通信与信号处理技术,,电子信息（信电学院）
P::MBA专硕,L2::工商管理,Undirected,培养项目-二级学科,141,overall,MBA专硕,,工商管理
P::MPAcc专硕,L2::会计,Undirected,培养项目-二级学科,140,overall,MPAcc专硕,,会计
P::NGICS大平台工业控制系统综合安全,L2::控制工程,Undirected,培养项目-二级学科,13,overall,NGICS大平台工业控制系统综合安全,,控制工程
P::NGICS大平台工业控制系统综合安全,L2::电子信息（控制学院）,Undirected,培养项目-二级学科,9,overall,NGICS大平台工业控制系统综合安全,,电子信息（控制学院）
P::NGICS大平台工业控制系统综合安全,L2::电气工程,Undirected,培养项目-二级学科,3,overall,NGICS大平台工业控制系统综合安全,,电气工程
P::NGICS大平台工业控制系统综合安全,L2::计算机技术,Undirected,培养项目-二级学科,4,overall,NGICS大平台工业控制系统综合安全,,计算机技术
P::iMDS专硕,L2::大数据技术与工程,Undirected,培养项目-二级学科,39,overall,iMDS专硕,,大数据技术与工程
P::iMDS专硕,L2::电子信息（国际联合学院）,Undirected,培养项目-二级学科,1,overall,iMDS专硕,,电子信息（国际联合学院）
P::iMF专硕,L2::金融,Undirected,培养项目-二级学科,138,overall,iMF专硕,,金融
P::“一带一路”临床医学,L2::内科学,Undirected,培养项目-二级学科,4,overall,“一带一路”临床医学,,内科学
P::“一带一路”临床医学,L2::外科学,Undirected,培养项目-二级学科,4,overall,“一带一路”临床医学,,外科学
P::“一带一路”临床医学,L2::妇产科学,Undirected,培养项目-二级学科,1,overall,“一带一路”临床医学,,妇产科学
P::“一带一路”临床医学,L2::放射影像学,Undirected,培养项目-二级学科,1,overall,“一带一路”临床医学,,放射影像学
P::“一带一路”临床医学,L2::皮肤病与性病学,Undirected,培养项目-二级学科,1,overall,“一带一路”临床医学,,皮肤病与性病学
P::“一带一路”临床医学,L2::神经病学,Undirected,培养项目-二级学科,1,overall,“一带一路”临床医学,,神经病学
P::“一带一路”临床医学,L2::肿瘤学,Undirected,培养项目-二级学科,1,overall,“一带一路”临床医学,,肿瘤学
P::“一带一路”临床医学,L2::骨科学,Undirected,培养项目-二级学科,1,overall,“一带一路”临床医学,,骨科学
P::“一带一路”临床医学,L2::麻醉学,Undirected,培养项目-二级学科,2,overall,“一带一路”临床医学,,麻醉学
P::“双碳”高分子新材料,L2::材料与化工（高分子系）,Undirected,培养项目-二级学科,24,overall,“双碳”高分子新材料,,材料与化工（高分子系）
P::一流税务师,L2::税务,Undirected,培养项目-二级学科,42,overall,一流税务师,,税务
P::专用通信系统设计,L2::新一代电子信息技术（含量子技术等）,Undirected,培养项目-二级学科,1,overall,专用通信系统设计,,新一代电子信息技术（含量子技术等）
P::专用通信系统设计,L2::电子信息（信电学院）,Undirected,培养项目-二级学科,39,overall,专用通信系统设计,,电子信息（信电学院）
P::中国书画创作的当代传承与社会美育,L2::美术与书法,Undirected,培养项目-二级学科,12,overall,中国书画创作的当代传承与社会美育,,美术与书法
P::中国历代绘画大系,L2::博物馆,Undirected,培养项目-二级学科,2,overall,中国历代绘画大系,,博物馆
P::中国历代绘画大系,L2::工业设计工程,Undirected,培养项目-二级学科,13,overall,中国历代绘画大系,,工业设计工程
P::中国历代绘画大系,L2::美术与书法,Undirected,培养项目-二级学科,22,overall,中国历代绘画大系,,美术与书法
P::中国历代绘画大系,L2::计算机技术,Undirected,培养项目-二级学科,16,overall,中国历代绘画大系,,计算机技术
P::中小学学科教学与教育管理,L2::学科教学（语文）,Undirected,培养项目-二级学科,64,overall,中小学学科教学与教育管理,,学科教学（语文）
P::中小学学科教学与教育管理,L2::教育管理,Undirected,培养项目-二级学科,113,overall,中小学学科教学与教育管理,,教育管理
P::中小学学科教学与教育管理,L2::现代教育技术,Undirected,培养项目-二级学科,18,overall,中小学学科教学与教育管理,,现代教育技术
