Id,Label,Layer,label_text,label_x,label_y,font_size
L1::电子信息,电子信息,一级学科,电子信息,835.4274544354316,747.299248540537,9
L1::临床医学,临床医学,一级学科,临床医学,924.5432723918356,235.7779023078258,9
L1::机械,机械,一级学科,机械,1066.7923133096263,482.94949240542576,9
L1::能源动力,能源动力,一级学科,能源动力,601.734385070009,517.3466072780775,9
L1::材料与化工,材料与化工,一级学科,材料与化工,695.9622292058267,486.818315458181,9
L1::农业,农业,一级学科,农业,927.3724851481184,433.7337910785942,9
L1::土木水利,土木水利,一级学科,土木水利,803.2804786367212,209.223856219171,9
L1::药学,药学,一级学科,药学,704.1678549853871,404.2558135487241,9
L1::法律,法律,一级学科,法律,764.5930910026776,204.493823489835,9
L1::生物与医药,生物与医药,一级学科,生物与医药,960.7460473388855,340.6262075644995,9
L1::金融,金融,一级学科,金融,548.0113475840482,519.2776611609249,9
L1::教育,教育,一级学科,教育,1121.9156518164946,354.07584782353246,9
L1::工商管理,工商管理,一级学科,工商管理,992.8417103748725,728.4796291803165,9
L1::资源与环境,资源与环境,一级学科,资源与环境,888.8537239070832,544.3876696211106,9
L1::公共卫生,公共卫生,一级学科,公共卫生,670.7085300786855,222.91361518672215,9
L1::口腔医学,口腔医学,一级学科,口腔医学,573.8802911522189,618.3310539509828,9
L1::建筑,建筑,一级学科,建筑,987.4413446856393,565.6418732246752,9
L1::应用心理,应用心理,一级学科,应用心理,945.1601792418294,753.3766932459748,9
L1::会计,会计,一级学科,会计,930.3384669322314,828.1363731609496,9
L1::戏剧与影视,戏剧与影视,一级学科,戏剧与影视,1107.7067469965398,394.09595826081477,9
L1::兽医,兽医,一级学科,兽医,813.070715581385,594.066428912244,9
L1::护理,护理,一级学科,护理,515.407928554982,257.4493041285361,9
L1::新闻与传播,新闻与传播,一级学科,新闻与传播,1254.4570269234596,329.5117376887274,9
L1::交通运输,交通运输,一级学科,交通运输,827.0042680722103,525.5617937349821,9
L1::博物馆,博物馆,一级学科,博物馆,763.1137978978865,440.9477734463611,9
L1::城乡规划,城乡规划,一级学科,城乡规划,823.1405930868259,429.7243428956975,9
L1::国际商务,国际商务,一级学科,国际商务,791.6228100961225,818.2966428424365,9
L1::风景园林,风景园林,一级学科,风景园林,469.5563700238753,287.85957400586295,9
L1::税务,税务,一级学科,税务,1295.5857285870147,538.3964730733916,9
L1::社会工作,社会工作,一级学科,社会工作,1061.4537541795407,794.2566770947794,9
L1::数字经济,数字经济,一级学科,数字经济,453.9580036459603,347.194688976088,9
L1::美术与书法,美术与书法,一级学科,美术与书法,840.768098572153,445.40472722816446,9
L1::工程管理,工程管理,一级学科,工程管理,944.6958989757383,898.1565605705129,9
L1::国际中文教育,国际中文教育,一级学科,国际中文教育,1254.4200990400975,164.23699567701593,9
P::临床医学专项,临床医学专项,培养项目,临床医学专项,817.2020843483447,381.48294444264286,8
P::智慧土木水利,智慧土木水利,培养项目,智慧土木水利,1028.4093967959607,650.0527194578186,8
P::应用复合型法律硕士,应用复合型法律硕士,培养项目,应用复合型法<br>律硕士,708.4494163691234,201.85459350562897,8
P::绿色化工与生物医药先进制造,绿色化工与生物医药先进制造,培养项目,绿色化工与生<br>物医药先进…,595.7709691908899,285.6312804811827,8
P::口腔医学专项,口腔医学专项,培养项目,口腔医学专项,525.5593570204725,592.4891580661107,8
P::中小学学科教学与教育管理,中小学学科教学与教育管理,培养项目,中小学学科教<br>学与教育管理,1045.5065764085596,301.7463464247833,8
P::先进制造,先进制造,培养项目,先进制造,1008.7210303773962,290.3442029172793,8
P::公共卫生专硕,公共卫生专硕,培养项目,公共卫生专硕,594.8131977039193,327.2353194691502,8
P::高端集成电路芯片设计与制造,高端集成电路芯片设计与制造,培养项目,高端集成电路<br>芯片设计与…,734.7089224464007,736.7194499258487,8
P::空天会聚工程,空天会聚工程,培养项目,空天会聚工程,1103.2578203424787,525.7353167534202,8
P::区块链技术与平台,区块链技术与平台,培养项目,区块链技术与<br>平台,791.5447597332804,742.8440101435428,8
P::数据科学与工程,数据科学与工程,培养项目,数据科学与工<br>程,645.4516505190694,431.69735199083175,8
P::智慧农业,智慧农业,培养项目,智慧农业,743.9772144711865,262.1344642333167,8
P::面向工业智能的机器学习关键技术与平台,面向工业智能的机器学习关键技术与平台,培养项目,面向工业智能<br>的机器学习…,670.1482734862129,715.540368820593,8
P::MBA专硕,MBA专硕,培养项目,MBA专硕,1050.790018911428,675.605348569184,8
P::MPAcc专硕,MPAcc专硕,培养项目,MPAcc专<br>硕,859.5285482302345,864.120451138669,8
P::iMF专硕,iMF专硕,培养项目,iMF专硕,576.764334243045,411.52459142831617,8
P::智能农业工程与食品先进制造,智能农业工程与食品先进制造,培养项目,智能农业工程<br>与食品先进…,881.2209716000591,234.80225069710804,8
P::生态环境协同治理,生态环境协同治理,培养项目,生态环境协同<br>治理,574.5333280849779,356.792572017987,8
P::新型计算架构与智能系统,新型计算架构与智能系统,培养项目,新型计算架构<br>与智能系统,823.9130785023855,616.0458381284949,8
P::国际化智能产品设计与创新创业,国际化智能产品设计与创新创业,培养项目,国际化智能产<br>品设计与创…,973.9787075134321,372.99976501822954,8
