Id,Label,Layer,People,Degree,WeightedDegree,x_opt,y_opt,marker_size_opt
P::临床医学专项,临床医学专项,培养项目,1286,1,1286,853.589773470455,329.51593875294924,35.0
P::智慧土木水利,智慧土木水利,培养项目,327,1,327,981.3334560625636,650.0527194578186,34.79188146679392
P::应用复合型法律硕士,应用复合型法律硕士,培养项目,302,1,302,708.4494163691234,248.3985299898651,33.727872968472255
P::绿色化工与生物医药先进制造,绿色化工与生物医药先进制造,培养项目,242,2,242,679.9641363668122,285.6312804811827,30.978334351844673
P::口腔医学专项,口腔医学专项,培养项目,219,1,219,489.0273142847377,618.0691697758714,29.834778894665035
P::中小学学科教学与教育管理,中小学学科教学与教育管理,培养项目,195,1,195,1045.5065764085596,345.71407262245344,28.57545239534021
P::先进制造,先进制造,培养项目,190,1,190,1008.7210303773962,327.6159527575563,28.303499680553973
P::公共卫生专硕,公共卫生专硕,培养项目,182,1,182,636.7524804865435,297.869117517648,27.860821383817044
P::高端集成电路芯片设计与制造,高端集成电路芯片设计与制造,培养项目,175,1,175,734.7089224464007,693.306735930766,27.465427990165452
P::空天会聚工程,空天会聚工程,培养项目,161,2,161,1060.252737449312,525.7353167534202,26.65016578633312
P::区块链技术与平台,区块链技术与平台,培养项目,154,1,154,826.6000567583329,718.2980269124207,26.229231619338375
P::数据科学与工程,数据科学与工程,培养项目,152,1,152,693.7763850230658,465.5346953725129,26.107215782245536
P::智慧农业,智慧农业,培养项目,149,1,149,743.9772144711865,309.5558026586133,25.92267685059318
P::面向工业智能的机器学习关键技术与平台,面向工业智能的机器学习关键技术与平台,培养项目,147,1,147,670.1482734862129,672.9610603158807,25.798617009424646
P::MBA专硕,MBA专硕,培养项目,141,1,141,1016.1073762055967,675.605348569184,25.421285411662698
P::MPAcc专硕,MPAcc专硕,培养项目,140,1,140,859.5285482302345,829.1416403014915,25.35762167435478
P::iMF专硕,iMF专硕,培养项目,138,1,138,576.764334243045,446.11139562779806,25.22960839896383
P::智能农业工程与食品先进制造,智能农业工程与食品先进制造,培养项目,133,2,133,839.0882433026921,234.80225069710804,24.90545659473392
P::生态环境协同治理,生态环境协同治理,培养项目,132,1,132,598.6808671145482,391.2788317507951,24.83989908647908
P::新型计算架构与智能系统,新型计算架构与智能系统,培养项目,121,1,121,864.3127109731219,587.7577109315835,24.101689431154433
P::国际化智能产品设计与创新创业,国际化智能产品设计与创新创业,培养项目,120,1,120,973.9787075134321,440.71223755835535,24.032945080251626
P::全球制造与供应链管理,全球制造与供应链管理,培养项目,116,1,116,927.477940147582,695.5603131725198,23.75506066611449
P::新一代光电融合成像技术与系统,新一代光电融合成像技术与系统,培养项目,116,1,116,675.9751815073345,377.64035905779207,23.75506066611449
P::转化药学,转化药学,培养项目,115,1,115,656.3758103924567,617.0221187053208,23.684844093075903
P::数字孪生技术与应用,数字孪生技术与应用,培养项目,114,1,114,866.6394566781044,287.5716648240895,23.61432156112337
P::数据治理与智能分析技术研究,数据治理与智能分析技术研究,培养项目,113,1,113,940.0638126382895,661.3969659464917,23.543489035537036
P::金融基础软件,金融基础软件,培养项目,113,1,113,916.2591378047019,634.138255021357,23.543489035537036
P::智慧建筑与低碳城市,智慧建筑与低碳城市,培养项目,110,1,110,1032.1506065728377,382.3674246375231,23.329089790879692
P::农作物现代生物育种,农作物现代生物育种,培养项目,107,1,107,771.064656641341,709.3500621363372,23.111746436003443
P::工业母机与智能制造,工业母机与智能制造,培养项目,107,1,107,1045.5110817552436,490.1388392282119,23.111746436003443
P::农业生物安全,农业生物安全,培养项目,101,1,101,982.3337662366694,548.5913935046736,22.66771944396175
P::智慧能源,智慧能源,培养项目,101,6,101,1013.91046428701,601.5205093969311,22.66771944396175
P::数字金融,数字金融,培养项目,98,1,98,563.331012531841,540.4565730280332,22.440758223901156
P::心理健康,心理健康,培养项目,96,1,96,876.4243068018676,740.7110255418609,22.287515627085334
P::产品服务操作系统关键技术与平台,产品服务操作系统关键技术与平台,培养项目,95,1,95,690.5878515290962,606.340873306913,22.210295696531887
P::氢能、储能与动力过程节能,氢能、储能与动力过程节能,培养项目,95,1,95,738.3502218172825,654.9126498898376,22.210295696531887
P::流程工业智能自动化,流程工业智能自动化,培养项目,95,1,95,628.4195199448363,463.0018977390589,22.210295696531887
P::数字经济信息融合与泛在智能,数字经济信息融合与泛在智能,培养项目,94,1,94,792.7584637293628,596.7612521599892,22.132668264452526
P::产业需求导向的集成系统及其应用,产业需求导向的集成系统及其应用,培养项目,93,1,93,797.4937655810804,658.8324935007344,22.054626810592833
P::护理专项,护理专项,培养项目,93,1,93,518.913782700395,277.1570874429467,22.054626810592833
P::平衡建筑理论与工程实践,平衡建筑理论与工程实践,培养项目,91,3,91,1000.7352914102005,396.4962874063241,21.897274871025097
P::图形基础软件,图形基础软件,培养项目,90,1,90,690.6248681311924,541.3718958244569,21.81795043887086
P::高端化学品先进制造,高端化学品先进制造,培养项目,90,2,90,658.7923657764858,408.4233944213401,21.81795043887086
P::数据安全与智能安全,数据安全与智能安全,培养项目,89,1,89,698.811261564227,503.20084168706205,21.738184077615855
P::国际传播,国际传播,培养项目,88,1,88,1193.161847776107,299.62932238354745,21.657968317741968
P::可再生能源高效利用,可再生能源高效利用,培养项目,87,1,87,971.8704154843003,317.9623047138322,21.577295476912347
P::工业软件关键技术与系统,工业软件关键技术与系统,培养项目,87,1,87,891.5566062704327,696.6892301305187,21.577295476912347
P::大尺寸半导体单晶材料与芯片,大尺寸半导体单晶材料与芯片,培养项目,78,2,78,651.4149690042532,350.8589386890874,20.829286457545305
P::农业资源高效利用与保护,农业资源高效利用与保护,培养项目,77,1,77,856.7138482289907,640.7314165971355,20.743566684447668
P::广播电视,广播电视,培养项目,74,1,74,1057.117436932837,428.8392052444587,20.483012042655844
P::特种智能机器人,特种智能机器人,培养项目,73,1,73,971.0032693626803,408.4346327663395,20.394990607125628
P::人工智能药学,人工智能药学,培养项目,72,3,72,960.2608482782491,502.963293115397,20.306364191915275
