Id,Label,Layer,label_text,label_x,label_y,font_size
L1::电子信息,电子信息,一级学科,电子信息,923.8366400032705,311.15345523852415,9
L1::临床医学,临床医学,一级学科,临床医学,805.8486974452044,755.0310893725241,9
L1::机械,机械,一级学科,机械,691.6194647925433,443.40800139099395,9
L1::能源动力,能源动力,一级学科,能源动力,578.0705694587369,627.0571870285721,9
L1::材料与化工,材料与化工,一级学科,材料与化工,987.4830345288784,821.5589992730379,9
L1::农业,农业,一级学科,农业,534.065083116628,771.0416779175282,9
L1::土木水利,土木水利,一级学科,土木水利,939.7506831648631,396.7974382044113,9
L1::药学,药学,一级学科,药学,926.1368479109977,893.149134660481,9
L1::法律,法律,一级学科,法律,948.536638957316,338.4442542928413,9
L1::生物与医药,生物与医药,一级学科,生物与医药,1073.0563210417713,638.166003007776,9
L1::金融,金融,一级学科,金融,494.3503750303818,645.9779139767721,9
L1::教育,教育,一级学科,教育,732.436136267782,931.7104458740616,9
L1::工商管理,工商管理,一级学科,工商管理,983.8440414636318,914.1344046253238,9
L1::资源与环境,资源与环境,一级学科,资源与环境,669.855428055946,829.4534358893158,9
L1::公共卫生,公共卫生,一级学科,公共卫生,931.2216006826449,285.8928811031556,9
L1::口腔医学,口腔医学,一级学科,口腔医学,1079.126178833353,819.7592534246814,9
L1::建筑,建筑,一级学科,建筑,881.3758148737419,773.3651132685942,9
L1::应用心理,应用心理,一级学科,应用心理,1149.7818287949037,565.7827305705761,9
L1::会计,会计,一级学科,会计,657.2666992612474,311.7585718366886,9
L1::戏剧与影视,戏剧与影视,一级学科,戏剧与影视,559.3500172665024,392.2102615486041,9
L1::兽医,兽医,一级学科,兽医,715.0511404749229,870.7832220686836,9
L1::护理,护理,一级学科,护理,1135.1920916079819,717.0948184019791,9
L1::新闻与传播,新闻与传播,一级学科,新闻与传播,1190.9545928984558,695.2633818685284,9
L1::交通运输,交通运输,一级学科,交通运输,1113.844778859991,512.6105025319365,9
L1::博物馆,博物馆,一级学科,博物馆,1051.8274728717406,422.2371759564074,9
L1::城乡规划,城乡规划,一级学科,城乡规划,822.0771864703376,667.5836547207554,9
L1::国际商务,国际商务,一级学科,国际商务,962.8126095210432,315.24607064550054,9
L1::风景园林,风景园林,一级学科,风景园林,608.0358564078749,263.89736760255374,9
L1::税务,税务,一级学科,税务,1138.700787829431,864.309941966609,9
L1::社会工作,社会工作,一级学科,社会工作,1030.0586693157445,846.2568746441266,9
L1::数字经济,数字经济,一级学科,数字经济,712.5905376842555,216.48813835791705,9
L1::美术与书法,美术与书法,一级学科,美术与书法,700.7929565892254,412.71925723848364,9
L1::工程管理,工程管理,一级学科,工程管理,796.308000726857,1048.654366758934,9
L1::国际中文教育,国际中文教育,一级学科,国际中文教育,1313.9979266127068,540.5519845486579,9
L2::软件工程,软件工程,二级学科,软件工程,1092.8240405080153,475.61106214502973,8
L2::电气工程,电气工程,二级学科,电气工程,705.2989483586348,500.1521388351035,8
L2::计算机技术,计算机技术,二级学科,计算机技术,741.9507078630368,301.82753355397153,8
L2::机械（机械学院）,机械（机械学院）,二级学科,机械（机械学<br>院）,939.098355661891,469.4961553380632,8
L2::人工智能,人工智能,二级学科,人工智能,612.586710056975,479.4649638391356,8
L2::药学,药学,二级学科,药学,851.472373428988,712.2089711643479,8
L2::电子信息（控制学院）,电子信息（控制学院）,二级学科,电子信息（控<br>制学院）,1032.5755027185892,591.3061575595306,8
L2::内科学,内科学,二级学科,内科学,782.8771528326696,654.2307105705253,8
L2::法律（非法学）,法律（非法学）,二级学科,法律（非法学<br>）,828.1559486114918,408.7217183948736,8
L2::电子信息（集成电路学院）,电子信息（集成电路学院）,二级学科,电子信息（集<br>成电路学院）,648.5834540652943,349.4535758744951,8
L2::材料与化工（材料学院）,材料与化工（材料学院）,二级学科,材料与化工（<br>材料学院）,671.7812047204802,806.4486834314672,8
L2::外科学,外科学,二级学科,外科学,662.4483712845631,563.1948239009238,8
L2::土木工程,土木工程,二级学科,土木工程,1072.8755715843947,458.08709662278557,8
L2::金融,金融,二级学科,金融,494.91617920865406,545.626259008978,8
L2::能源动力（能源学院）,能源动力（能源学院）,二级学科,能源动力（能<br>源学院）,617.5443821123694,730.4795381694835,8
L2::材料与化工（化工学院）,材料与化工（化工学院）,二级学科,材料与化工（<br>化工学院）,861.4367796224765,858.0042658669204,8
L2::农艺与种业,农艺与种业,二级学科,农艺与种业,481.574585880692,723.8165200980559,8
L2::工商管理,工商管理,二级学科,工商管理,859.3201297089814,929.0655091896031,8
L2::电子信息（信电学院）,电子信息（信电学院）,二级学科,电子信息（信<br>电学院）,579.530836379124,686.7744163089892,8
L2::公共卫生,公共卫生,二级学科,公共卫生,876.8626521330938,260.52275860902864,8
L2::口腔医学,口腔医学,二级学科,口腔医学,1090.9833025323474,791.0446893912044,8
L2::电子信息（光电学院）,电子信息（光电学院）,二级学科,电子信息（光<br>电学院）,830.2873412963609,467.49324355589005,8
L2::大数据技术与工程,大数据技术与工程,二级学科,大数据技术与<br>工程,798.985006549454,496.536297559295,8
