Id,Label,timeset,院系,课程性质,课程体系,是否允许外院选课,上课语言,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
1002112,研究生论文写作指导—电自,,电气工程学院,专业学位课,学术学位,是,中文,4,515,12,0.192251,0.204046,0.000001,1
1003133,人工智能与电力系统,,电气工程学院,专业选修课,通用课程,是,中文,5,469,11,0.209223,0.221857,0.000053,1
1011097,电力系统运行分析,,电气工程学院,专业学位课,通用课程,是,中文,23,4141,11,0.231375,0.253079,0.001668,1
1021024,电力市场与电力经济,,电气工程学院,专业学位课,通用课程,是,中文,28,4811,11,0.233261,0.254443,0.001149,1
1023026,电力系统运行与控制,,电气工程学院,专业选修课,通用课程,是,中文,13,2888,12,0.200871,0.219614,0.000075,1
1021134,电力能源互联网技术,,电气工程学院,专业学位课,通用课程,是,双语,11,534,10,0.258897,0.280507,0.000781,1
1022137,研究生论文写作指导,,电气工程学院,专业学位课,通用课程,是,中文,20,1917,10,0.259085,0.282472,0.002046,1
1041136,电力系统分析与计算,,电气工程学院,专业学位课,专业学位,是,双语,6,256,11,0.209213,0.221741,0,1
1009001,计算机实时控制技术,,电气工程学院,公共选修课,专业学位,是,中文,74,9419,11,0.240031,0.267077,0.011535,1
1011063,非线性电力系统分析与控制,,电气工程学院,专业学位课,通用课程,是,中文,2,290,12,0.187916,0.198769,0,1
1011110,智能配电网技术,,电气工程学院,专业学位课,通用课程,是,全外文,11,1145,12,0.196071,0.21027,0.000004,1
1012116,电气工程学科最新发展综述,,电气工程学院,专业学位课,通用课程,是,中文,6,560,12,0.197715,0.211562,0.000058,1
1013076,专业外语（电气）,,电气工程学院,专业选修课,,是,中文,10,705,12,0.195982,0.20961,0.000991,1
1021023,现代控制理论,,电气工程学院,专业学位课,通用课程,是,中文,43,6128,11,0.234856,0.258319,0.002819,1
1021044,电网络理论及其拓扑,,电气工程学院,专业学位课,,是,中文,12,1432,12,0.200842,0.219264,0.000014,1
1021079,电力系统过电压,,电气工程学院,专业学位课,通用课程,是,中文,9,1534,12,0.200833,0.219148,0,1
1021113,电网络理论,,电气工程学院,专业学位课,专业学位,是,中文,3,308,12,0.192864,0.205312,0,1
1023025,计算机继电保护,,电气工程学院,专业选修课,通用课程,是,中文,3,162,12,0.192864,0.205312,0,1
1023029,电力系统规划,,电气工程学院,专业选修课,通用课程,是,中文,14,3268,12,0.208613,0.228988,0.000049,1
1023030,直流输电,,电气工程学院,专业选修课,通用课程,是,中文,13,1923,12,0.200861,0.21942,0,1
1023103,电力电子技术在电力系统中的应用,,电气工程学院,专业选修课,通用课程,否,中文,5,1033,12,0.192882,0.205545,0,1
1041095,电气工程工业应用综述,,电气工程学院,专业学位课,专业学位,是,中文,22,2926,12,0.218768,0.241101,0.000203,1
109504,国际经济学专题,,经济学院,,,,中文,11,361,12,0.201408,0.21625,0.000002,1
109510,国际经济合作,,经济学院,公共选修课,学术学位,是,中文,30,1977,11,0.243173,0.273645,0.003775,1
209513,中国现代化进程专题讲座,,马克思主义学院,,,,中文,7,174,12,0.210826,0.229103,0.000027,1
409529,日本传统文化鉴赏,,人文学院,公共选修课,通用课程,是,中文,20,593,11,0.24772,0.274618,0.001624,1
6043907,工程管理,,工程师学院,专业学位课,专业学位,是,中文,30,7489,10,0.274688,0.307095,0.015136,273
609606,数值计算方法,,数学科学学院,公共选修课,通用课程,是,中文,31,2248,11,0.228201,0.251491,0.000771,1
1021082,鲁棒控制,,电气工程学院,专业学位课,通用课程,是,中文,16,2790,12,0.197497,0.213722,0.000021,1
1021142,电力系统规划与可靠性,,电气工程学院,专业学位课,通用课程,是,中文,6,223,11,0.209213,0.221741,0.000001,1
1023039,电力电子应用导论,,电气工程学院,专业选修课,通用课程,是,中文,37,5283,11,0.2403,0.265279,0.002964,1
1023143,低碳电力系统中的电力电子技术,,电气工程学院,专业选修课,通用课程,是,中文,6,190,11,0.217349,0.231655,0.000009,1
1042114,电气工程实践,,电气工程学院,专业学位课,专业学位,否,中文,11,2300,11,0.240543,0.264297,0.000783,1
209503,社会保障法专题,,光华法学院,公共选修课,通用课程,是,中文,11,346,11,0.242582,0.263836,0.00035,1
409520,中国古代典籍文化,,人文学院,公共选修课,通用课程,是,中文,15,332,11,0.237995,0.26173,0.002343,4
409523,中国审美哲学专题,,人文学院,公共选修课,通用课程,是,中文,25,1445,11,0.240826,0.26604,0.001082,1
9809306,西方音乐艺术,,公共体育与艺术部,公共选修课,通用课程,是,中文,42,2878,10,0.293611,0.328593,0.009197,4
2742002,动力与电气工程工业应用综述,,能源工程学院,专业学位课,专业学位,是,中文,23,3502,10,0.273724,0.301776,0.002641,1
3309001,“四史”专题,,马克思主义学院,公共选修课,通用课程,是,中文,180,27025,9,0.345266,0.398617,0.394715,4
1021153,人工智能的现代方法,,电气工程学院,专业选修课,通用课程,是,中文,10,414,10,0.258539,0.280414,0.000444,1
1012131,电气工程学科最新发展综述,,电气工程学院,专业学位课,通用课程,是,中文,4,306,11,0.208198,0.220014,0.000031,1
1021033,电力电子系统建模与控制,,电气工程学院,专业学位课,专业学位,是,中文,29,5423,11,0.228602,0.25,0.000984,1
1023106,电力电子线路设计,,电气工程学院,专业选修课,通用课程,是,中文,23,4690,11,0.231362,0.251318,0.000586,1
1021144,现代电力电子技术,,电气工程学院,专业学位课,通用课程,是,全外文,4,39,11,0.208047,0.219432,0,1
1022138,现代控制理论,,电气工程学院,专业学位课,通用课程,是,中文,13,957,10,0.262075,0.284427,0.001077,1
1023139,功率与信息电子器件测评与应用技术,,电气工程学院,专业选修课,通用课程,是,全外文,3,24,11,0.205782,0.216935,0,1
1023141,人工智能技术在电力电子中的应用与挑战,,电气工程学院,专业选修课,通用课程,是,中文,9,393,11,0.211658,0.225116,0.00001,1
1023154,网络安全导论,,电气工程学院,专业学位课,通用课程,是,中文,9,227,11,0.208664,0.221271,0.000034,1
1041158,工程伦理,,电气工程学院,专业学位课,专业学位,否,中文,10,920,10,0.258492,0.280356,0.000456,1
1011062,现代运动控制策略,,电气工程学院,专业学位课,通用课程,是,中文,13,1322,11,0.212696,0.226896,0.000242,1
1011072,智能控制与智能系统,,电气工程学院,专业学位课,通用课程,是,中文,14,2382,12,0.197252,0.212701,0.000016,1
1011098,先进控制技术,,电气工程学院,专业学位课,专业学位,是,双语,5,628,12,0.193717,0.206512,0.000001,1
1011108,新能源发电与控制技术,,电气工程学院,专业学位课,学术学位,是,中文,13,1057,11,0.221946,0.239885,0.00065,1
1012061,电气工程学科最新发展综述,,电气工程学院,专业学位课,通用课程,是,中文,7,545,12,0.19363,0.206217,0.000154,1
1021003,非线性系统理论,,电气工程学院,专业学位课,通用课程,是,中文,20,2681,11,0.215711,0.231699,0.00065,1
1021004,信息融合理论及应用,,电气工程学院,专业学位课,,是,中文,9,992,12,0.193709,0.206935,0,1
1021011,电气装备的计算机辅助分析,,电气工程学院,专业学位课,,是,中文,8,552,12,0.193621,0.206333,0,1
1021012,电气装备的暂态分析,,电气工程学院,专业学位课,专业学位,是,中文,10,761,12,0.193647,0.206605,0,1
1021013,近代电磁场,,电气工程学院,专业学位课,通用课程,是,中文,9,858,12,0.193665,0.20676,0,1
1021014,交流电机调速理论与方法,,电气工程学院,专业学位课,通用课程,是,中文,14,1872,12,0.193709,0.207343,0.000001,1
1021032,现代电力电子电路,,电气工程学院,专业学位课,通用课程,是,中文,27,5029,11,0.225622,0.245643,0.000863,1
1021034,DSP原理与应用,,电气工程学院,专业学位课,,是,中文,9,444,12,0.198612,0.212991,0.000014,1
1021035,电子电力系统电磁兼容设计基础,,电气工程学院,专业学位课,通用课程,是,中文,19,3321,12,0.19987,0.216261,0.000028,1
1021043,数字信号处理的工程分析与应用,,电气工程学院,专业学位课,专业学位,是,中文,5,262,12,0.193621,0.206256,0,1
1021045,现代控制系统与网络技术,,电气工程学院,专业学位课,通用课程,是,中文,9,350,12,0.193639,0.206489,0,1
1021046,电磁场理论,,电气工程学院,专业学位课,通用课程,是,中文,11,746,11,0.212823,0.227102,0.000201,1
1021052,系统辨识,,电气工程学院,专业学位课,通用课程,是,全外文,12,1822,12,0.193735,0.207285,0,1
1021085,模式识别与机器学习,,电气工程学院,专业学位课,,是,中文,13,973,12,0.193735,0.207129,0.000001,1
1021096,电气装备优化与直驱技术,,电气工程学院,专业学位课,,是,中文,9,403,12,0.193639,0.206489,0,1
1021107,现代电力电子器件,,电气工程学院,专业学位课,通用课程,是,中文,16,2827,12,0.198759,0.21414,0.000015,1
1021109,无线网络安全及隐私,,电气工程学院,专业学位课,学术学位,是,双语,12,1083,12,0.196233,0.210779,0.000012,1
1021112,电力电子装置的计算机辅助分析,,电气工程学院,专业学位课,专业学位,是,中文,3,140,12,0.193612,0.206061,0,1
1021115,电机暂态分析,,电气工程学院,专业学位课,专业学位,是,中文,9,1010,12,0.193875,0.207386,0.000004,1
1021128,研究生论文写作指导—双控,,电气工程学院,专业学位课,通用课程,是,中文,11,998,12,0.196224,0.210662,0.000004,1
1023008,决策支持系统,,电气工程学院,专业选修课,通用课程,是,中文,15,1836,12,0.197433,0.213373,0.000018,1
1023015,电机计算机控制系统,,电气工程学院,专业选修课,通用课程,是,中文,12,959,12,0.193665,0.206838,0.000004,1
1023017,直线电机理论与应用,,电气工程学院,专业选修课,通用课程,是,中文,10,1069,12,0.193884,0.207502,0.000004,1
1023021,高等机电一体化,,电气工程学院,专业选修课,通用课程,是,中文,11,1005,12,0.194887,0.209366,0.000012,1
1023037,半导体物理,,电气工程学院,专业选修课,通用课程,是,中文,8,780,12,0.196197,0.210265,0.000067,1
1023038,现代功率无源元件应用,,电气工程学院,专业选修课,专业学位,是,中文,7,844,12,0.194155,0.207545,0,1
1023040,电力电子系统CAD,,电气工程学院,专业选修课,通用课程,是,中文,13,1917,12,0.199823,0.215678,0.000001,1
1023042,现代电气传动及其应用,,电气工程学院,专业选修课,通用课程,是,中文,14,2548,12,0.199879,0.216144,0.000005,1
1023048,智能测试仪器与系统,,电气工程学院,专业选修课,通用课程,是,中文,5,123,12,0.193604,0.206023,0,1
1023049,PLC系统与网络技术,,电气工程学院,专业选修课,通用课程,是,中文,5,290,12,0.193621,0.206256,0,1
1023050,电磁场数值分析,,电气工程学院,专业选修课,通用课程,是,中文,6,376,12,0.198437,0.212494,0.000012,1
1023077,DSP在机电控制中的应用,,电气工程学院,专业选修课,通用课程,是,中文,12,1288,12,0.199665,0.215414,0.000031,1
1023078,功率半导体器件及其应用设计,,电气工程学院,专业选修课,通用课程,是,全外文,13,1990,12,0.198731,0.213791,0.000006,1
1023083,离散事件系统导论,,电气工程学院,专业选修课,通用课程,是,中文,11,1508,12,0.193726,0.207168,0,1
1023084,最优化与最优控制,,电气工程学院,专业选修课,通用课程,是,中文,9,1146,12,0.193709,0.206935,0,1
1023101,现代永磁电机理论与控制,,电气工程学院,专业选修课,通用课程,是,中文,12,1237,12,0.198538,0.213387,0.000024,1
1023105,电动汽车和混合动力汽车系统,,电气工程学院,专业选修课,通用课程,是,全外文,12,1475,12,0.198695,0.213729,0.000006,1
109505,公共经济学专题,,经济学院,公共选修课,通用课程,是,中文,12,310,11,0.241531,0.261195,0.000421,1
409506,道教文化专题,,人文学院,公共选修课,学术学位,是,中文,21,788,10,0.269361,0.299094,0.003288,1
409508,佛教文化专题,,人文学院,公共选修课,通用课程,是,中文,14,505,11,0.239255,0.265782,0.000391,4
409526,中国艺术通论,,人文学院,公共选修课,通用课程,是,中文,9,268,12,0.229691,0.252974,0.002681,210
409530,音乐素质教育,,人文学院,公共选修课,通用课程,是,中文,28,1225,11,0.256101,0.288784,0.017914,4
9909302,生涯规划与职业发展,,其他,公共选修课,通用课程,是,中文,41,2140,10,0.296184,0.331048,0.010491,4
1021125,研究生论文写作指导—电机,,电气工程学院,专业学位课,通用课程,是,全外文,6,507,12,0.190333,0.202366,0,1
1021157,强电磁脉冲环境效应及防护,,电气工程学院,专业学位课,通用课程,是,中文,7,276,10,0.25815,0.279366,0.000896,1
1011151,自动化学科前沿,,电气工程学院,专业学位课,通用课程,是,中文,10,376,10,0.258507,0.280317,0.000586,1
1021149,优化方法及应用,,电气工程学院,专业学位课,通用课程,是,中文,11,471,10,0.257979,0.279288,0.001169,1
1011071,非线性控制系统,,电气工程学院,专业学位课,,是,中文,5,43,13,0.163879,0.171435,0,1
1013102,新型电力电子器件前沿,,电气工程学院,专业选修课,通用课程,是,全外文,3,129,12,0.191445,0.203429,0.000078,1
1011091,高级超大规模集成电路设计,,信息与电子工程学院,专业学位课,学术学位,是,中文,2,32,13,0.163873,0.171318,0,1
1013069,模拟与混合信号集成电路与系统设计,,电气工程学院,专业选修课,通用课程,是,中文,4,24,13,0.163873,0.171318,0,1
1021148,矩阵论,,电气工程学院,专业学位课,通用课程,是,中文,7,128,11,0.206843,0.218394,0.000002,1
1021150,计算机视觉与模式识别,,电气工程学院,专业学位课,通用课程,是,中文,5,95,11,0.206724,0.218006,0,1
1021127,研究生论文写作指导—电力电子,,电气工程学院,专业学位课,学术学位,是,中文,9,948,12,0.190789,0.203442,0,1
1023118,高级电力电子技术,,电气工程学院,专业选修课,通用课程,是,全外文,8,432,12,0.195162,0.208821,0.000001,1
1023119,电力电子器件应用技术,,电气工程学院,专业选修课,通用课程,是,全外文,4,239,12,0.195126,0.208355,0,1
1021145,电力电子系统电磁兼容设计基础,,电气工程学院,专业学位课,通用课程,是,中文,11,907,11,0.218634,0.233768,0.000026,1
1023036,现代电力电子器件,,电气工程学院,专业选修课,,是,中文,6,217,12,0.186123,0.196987,0,1
1023041,电力电子线路设计,,电气工程学院,专业选修课,,是,中文,3,40,12,0.184095,0.194045,0,1
1021140,离散数学及其应用,,电气工程学院,专业选修课,通用课程,是,中文,5,138,12,0.193796,0.205883,0.000002,1
9809315,运动素质课,,公共体育与艺术部,公共选修课,通用课程,是,中文,95,13480,10,0.310093,0.354941,0.046769,4
109512,中国经济问题：理论与实践,,经济学院,公共选修课,通用课程,是,中文,8,127,12,0.212728,0.232783,0.00001,4
1509001,药膳与养生,,生物医学工程与仪器科学学院,公共选修课,通用课程,是,中文,2,57,12,0.209878,0.225399,0.000004,1
500010,研究生学术英语能力提升,,外国语学院,公共学位课,学术学位,是,全外文,59,4838,10,0.295592,0.333307,0.037811,4
509001,基础日语二外,,外国语学院,公共选修课,通用课程,是,全外文,42,1340,10,0.299282,0.332658,0.025042,4
1121301,线性系统理论,,控制科学与工程学院,专业学位课,通用课程,是,中文,76,12415,11,0.260105,0.293924,0.010694,4
1121302,矩阵论,,控制科学与工程学院,专业学位课,通用课程,是,中文,62,8643,11,0.239255,0.26521,0.002512,4
2122023,人工智能引论,,计算机科学与技术学院,专业学位课,通用课程,是,中文,38,7269,11,0.236709,0.259086,0.00036,4
2124003,计算机安全,,计算机科学与技术学院,专业选修课,通用课程,是,中文,72,16674,11,0.260896,0.296186,0.003587,4
622001,泛函分析,,数学科学学院,专业学位课,学术学位,是,中文,92,7381,11,0.245819,0.276045,0.019256,2
822021,现代测试技术,,机械工程学院,专业学位课,通用课程,是,中文,118,30385,10,0.282368,0.318913,0.019727,77
822022,现代控制理论,,机械工程学院,专业学位课,通用课程,是,中文,111,24106,11,0.253021,0.287334,0.00693,77
2122021,计算机视觉,,计算机科学与技术学院,专业学位课,通用课程,是,双语,80,25076,10,0.290098,0.323189,0.007657,4
2613003,实验安全教育,,材料科学与工程学院,专业选修课,通用课程,是,中文,66,21142,11,0.239924,0.266266,0.015947,3
922007,材料热力学与动力学,,材料科学与工程学院,专业学位课,通用课程,是,双语,49,13029,12,0.200075,0.221619,0.000566,3
1021088,模拟与混合集成电路设计,,信息与电子工程学院,专业学位课,学术学位,是,中文,29,2287,11,0.239817,0.266251,0.003256,87
1121341,模式识别与人工智能,,控制科学与工程学院,专业学位课,通用课程,是,中文,48,7260,11,0.233731,0.257313,0.00088,4
1409501,环境与发展专题,,环境与资源学院,公共选修课,学术学位,是,中文,8,294,11,0.235062,0.254271,0.0002,43
1822011,医学伦理与卫生法学,,医学院,专业学位课,学术学位,是,中文,101,31354,10,0.281609,0.315737,0.019363,49
2009503,战略管理专题,,管理学院,公共选修课,通用课程,是,中文,10,197,11,0.233388,0.253717,0.008774,4
2009506,管理概论,,管理学院,公共选修课,通用课程,是,中文,7,161,12,0.206485,0.221824,0,4
2009508,全球化知识产权保护，博弈和管理,,管理学院,公共选修课,通用课程,是,中文,13,352,11,0.231887,0.249287,0.010758,49
2009511,紫金.创享（创业系列大讲堂）,,管理学院,公共选修课,通用课程,是,中文,31,1189,11,0.255415,0.282465,0.003297,4
209504,博弈论专题,,公共管理学院,公共选修课,,是,中文,9,218,11,0.23756,0.257414,0.000183,49
209509,人生美学专题研究,,马克思主义学院,公共选修课,学术学位,是,中文,70,5270,10,0.301998,0.341521,0.109653,4
