Source,Target,Type,Id,Label,timeset,Weight
1002112,1003133,Undirected,0,,,78
1002112,1011097,Undirected,1,,,145
1002112,1021024,Undirected,2,,,162
1002112,1023026,Undirected,3,,,130
1003133,1021024,Undirected,4,,,148
1003133,1021134,Undirected,5,,,64
1003133,1022137,Undirected,6,,,122
1003133,1041136,Undirected,7,,,57
1011097,1009001,Undirected,8,,,199
1011097,1011063,Undirected,9,,,178
1011097,1011110,Undirected,10,,,88
1011097,1012116,Undirected,11,,,118
1011097,1013076,Undirected,12,,,85
1011097,1021023,Undirected,13,,,456
1011097,1021024,Undirected,14,,,478
1011097,1021044,Undirected,15,,,190
1011097,1021079,Undirected,16,,,236
1011097,1021113,Undirected,17,,,108
1011097,1023025,Undirected,18,,,59
1011097,1023026,Undirected,19,,,393
1011097,1023029,Undirected,20,,,442
1011097,1023030,Undirected,21,,,246
1011097,1023103,Undirected,22,,,224
1011097,1041095,Undirected,23,,,172
1011097,109504,Undirected,24,,,44
1011097,109510,Undirected,25,,,65
1011097,209513,Undirected,26,,,32
1011097,409529,Undirected,27,,,31
1011097,6043907,Undirected,28,,,70
1011097,609606,Undirected,29,,,82
1021024,1009001,Undirected,30,,,225
1021024,1021023,Undirected,31,,,494
1021024,1021044,Undirected,32,,,195
1021024,1021079,Undirected,33,,,257
1021024,1021082,Undirected,34,,,97
1021024,1021113,Undirected,35,,,95
1021024,1021134,Undirected,36,,,77
1021024,1021142,Undirected,37,,,63
1021024,1023025,Undirected,38,,,56
1021024,1023026,Undirected,39,,,458
1021024,1023029,Undirected,40,,,506
1021024,1023030,Undirected,41,,,252
1021024,1023039,Undirected,42,,,149
1021024,1023103,Undirected,43,,,213
1021024,1023143,Undirected,44,,,47
1021024,1041095,Undirected,45,,,204
1021024,1041136,Undirected,46,,,54
1021024,1042114,Undirected,47,,,169
1021024,109504,Undirected,48,,,44
1021024,109510,Undirected,49,,,77
1021024,209503,Undirected,50,,,52
1021024,409520,Undirected,51,,,24
1021024,409523,Undirected,52,,,61
1021024,609606,Undirected,53,,,110
1021024,9809306,Undirected,54,,,44
1023026,1009001,Undirected,55,,,153
