Name,ID,AI capability,Exp,Trial,Feature Time,Feature Location,Feature Element,Feature Landform,Prior Intensity,Element Prior,Reality Mine,Prior Reality,AI advice,AI ACC,Advice Prior,Choice,SuccessOrNot,RT(ms),Timeout,FollowOrNot,Trust,Energy Points,d_Energy Points,Trust_0,QuestionID,System Time
wzy,2001,Low,1,1,2006,南半球,嫦娥石,高地,Medium,Big,Big,1,Big,1,1,Null,0,0,1,0,Null,0,-1000,80,21,
wzy,2001,Low,1,2,2010,南半球,嫦娥石,龙纹地貌,High,Big,Big,1,Big,1,1,Null,0,0,1,0,Null,0,0,80,14,
wzy,2001,Low,1,3,2012,北半球,苏长岩,环形山,Null,Null,Big,Null,Small,0,Null,Null,0,0,1,0,Null,0,0,80,52,
wzy,2001,Low,1,4,2004,南半球,月球玄武岩,低地,High,Small,Small,1,Big,0,0,Null,0,0,1,0,Null,0,0,80,6,
wzy,2001,Low,1,5,2012,北半球,月球角砾石,低地,Medium,Small,Small,1,Small,1,1,Null,0,0,1,0,Null,0,0,80,27,
wzy,2001,Low,1,6,2008,南半球,月球玄武岩,低地,High,Small,Big,0,Small,0,1,Null,0,0,1,0,Null,0,0,80,10,
wzy,2001,Low,1,7,2013,北半球,月球玄武岩,龙纹地貌,Null,Null,Big,Null,Big,1,Null,Null,0,0,1,0,Null,0,0,80,48,
wzy,2001,Low,1,8,2008,北半球,苏长岩,环形山,Null,Null,Big,Null,Big,1,Null,Null,0,0,1,0,Null,0,0,80,42,
wzy,2001,Low,1,9,2007,南半球,苏长岩,低地,Medium,Small,Big,0,Small,0,1,Null,0,0,1,0,Null,0,0,80,39,
wzy,2001,Low,1,10,2016,南半球,嫦娥石,低地,Null,Null,Small,Null,Big,0,Null,Null,0,0,1,0,Null,0,0,80,56,
wzy,2001,Low,1,11,2009,南半球,月球角砾石,环形山,Null,Null,Small,Null,Big,0,Null,Null,0,0,1,0,Null,0,0,80,43,
wzy,2001,Low,1,12,2001,北半球,嫦娥石,高地,Medium,Big,Big,1,Big,1,1,Null,0,0,1,0,Null,0,0,80,32,
wzy,2001,Low,1,13,2004,北半球,月球玄武岩,高地,Medium,Small,Small,1,Big,0,0,Null,0,0,1,0,Null,0,0,80,37,
wzy,2001,Low,1,14,2011,南半球,月球玄武岩,高地,Medium,Small,Small,1,Big,0,0,Null,0,0,1,0,Null,0,0,80,26,
wzy,2001,Low,1,15,2015,南半球,月球玄武岩,环形山,Medium,Small,Small,1,Big,0,0,Null,0,0,1,0,Null,0,0,80,30,
wzy,2001,Low,1,16,2007,南半球,月球玄武岩,低地,High,Small,Small,1,Small,1,1,Null,0,0,1,0,Null,0,0,80,9,
wzy,2001,Low,1,17,2004,北半球,月球玄武岩,低地,High,Small,Small,1,Small,1,1,Null,0,0,1,0,Null,0,0,80,7,
wzy,2001,Low,1,18,2010,南半球,苏长岩,龙纹地貌,Medium,Big,Big,1,Big,1,1,Null,0,0,1,0,Null,0,0,80,25,
wzy,2001,Low,1,19,2009,南半球,月球角砾石,龙纹地貌,Medium,Big,Small,0,Small,1,0,Null,0,0,1,0,Null,0,0,80,23,
wzy,2001,Low,1,20,2003,南半球,嫦娥石,龙纹地貌,High,Big,Big,1,Small,0,0,Null,0,0,1,0,Null,0,0,80,4,
wzy,2001,Low,1,21,2008,北半球,苏长岩,龙纹地貌,Medium,Big,Big,1,Small,0,0,Null,0,0,1,0,Null,0,0,80,22,
wzy,2001,Low,1,22,2014,北半球,月球玄武岩,低地,High,Small,Small,1,Big,0,0,Null,0,0,1,0,Null,0,0,80,19,
wzy,2001,Low,1,23,2009,南半球,嫦娥石,龙纹地貌,High,Big,Big,1,Small,0,0,Null,0,0,1,0,Null,0,0,80,13,
wzy,2001,Low,1,24,2008,北半球,嫦娥石,龙纹地貌,High,Big,Big,1,Big,1,1,Null,0,0,1,0,Null,0,0,80,12,
wzy,2001,Low,1,25,2014,北半球,嫦娥石,低地,Null,Null,Small,Null,Big,0,Null,Null,0,0,1,0,Null,0,0,80,49,
wzy,2001,Low,1,26,2012,北半球,月球玄武岩,低地,High,Small,Small,1,Big,0,0,Null,0,0,1,0,Null,0,0,80,17,
wzy,2001,Low,1,27,2018,北半球,月球玄武岩,龙纹地貌,Null,Null,Big,Null,Big,1,Null,Null,0,0,1,0,Null,0,0,80,57,
wzy,2001,Low,1,28,2010,南半球,月球角砾石,高地,Null,Null,Small,Null,Big,0,Null,Null,0,0,1,0,Null,0,0,80,45,
wzy,2001,Low,1,29,2006,南半球,苏长岩,高地,Null,Null,Big,Null,Small,0,Null,Null,0,0,1,0,Null,0,0,80,41,
wzy,2001,Low,1,30,2001,南半球,嫦娥石,龙纹地貌,High,Big,Small,0,Small,1,0,Null,0,0,1,0,Null,0,0,80,5,
