Name,ID,AI capability,Exp,Trial,Feature Time,Feature Location,Feature Element,Feature Landform,Prior Intensity,Element Prior,Reality Mine,Prior Reality,AI advice,AI ACC,Advice Prior,Choice,SuccessOrNot,RT(ms),Timeout,FollowOrNot,Trust,Energy Points,d_Energy Points,Trust_0,QuestionID,System Time
mx,2002,Low,1,1,2006,南半球,嫦娥石,高地,Medium,Big,Big,1,Big,1,1,Big,1,5000,0,1,85,1100,100,60,21,2024.8.26.13.06.09
mx,2002,Low,1,2,2000,北半球,嫦娥石,龙纹地貌,High,Big,Big,1,Big,1,1,Small,0,3000,0,0,75,1090,-10,60,1,2024.8.26.13.06.17
mx,2002,Low,1,3,2006,北半球,月球玄武岩,环形山,Medium,Small,Big,0,Big,1,0,Small,0,3000,0,0,80,1080,-10,60,38,2024.8.26.13.06.22
mx,2002,Low,1,4,2001,北半球,嫦娥石,高地,Medium,Big,Big,1,Big,1,1,Big,1,3000,0,1,70,1180,100,60,32,2024.8.26.13.06.27
mx,2002,Low,1,5,2006,南半球,嫦娥石,龙纹地貌,High,Big,Big,1,Small,0,0,Big,1,3000,0,0,85,1280,100,60,11,2024.8.26.13.06.37
mx,2002,Low,1,6,2010,南半球,嫦娥石,环形山,Medium,Big,Small,0,Big,0,1,Big,0,3000,0,1,80,1180,-100,60,24,2024.8.26.13.06.42
mx,2002,Low,1,7,2012,北半球,苏长岩,环形山,Null,Null,Big,Null,Small,0,Null,Small,0,3000,0,1,75,1170,-10,60,52,2024.8.26.13.06.47
mx,2002,Low,1,8,2006,北半球,月球玄武岩,低地,High,Small,Small,1,Big,0,0,Small,1,3000,0,0,90,1180,10,60,8,2024.8.26.13.06.53
mx,2002,Low,1,9,2020,南半球,月球玄武岩,龙纹地貌,Null,Null,Small,Null,Small,1,Null,Big,0,3000,0,0,80,1080,-100,60,59,2024.8.26.13.06.58
mx,2002,Low,1,10,2010,南半球,嫦娥石,龙纹地貌,High,Big,Small,0,Big,0,1,Big,0,3000,0,1,95,980,-100,60,15,2024.8.26.13.07.03
mx,2002,Low,1,11,2001,南半球,嫦娥石,龙纹地貌,High,Big,Small,0,Small,1,0,Big,0,3000,0,0,80,880,-100,60,5,2024.8.26.13.07.09
mx,2002,Low,1,12,2008,北半球,苏长岩,环形山,Null,Null,Big,Null,Big,1,Null,Null,0,0,1,0,Null,780,-100,60,42,2024.8.26.13.07.14
mx,2002,Low,1,13,2004,北半球,月球玄武岩,低地,High,Small,Small,1,Small,1,1,Small,1,3000,0,1,70,790,10,60,7,2024.8.26.13.07.33
mx,2002,Low,1,14,2006,南半球,苏长岩,高地,Null,Null,Big,Null,Small,0,Null,Small,0,3000,0,1,75,780,-10,60,41,2024.8.26.13.07.39
mx,2002,Low,1,15,2003,南半球,嫦娥石,龙纹地貌,High,Big,Big,1,Small,0,0,Big,1,3000,0,0,60,880,100,60,4,2024.8.26.13.07.44
