id,if,author,dynasty,location,name,material,size1,size2,mulu,佳品,精品,区域1,区域2,分卷,分册
D015000,已出版,閻立本（傳）,唐,波士頓藝術博物館,歷代帝王圖,絹本設色,51.3×531,卷,,,精品（戰國-唐）,北美,美国,1-01 先秦汉唐 传世作品 第1册,1-01 先秦汉唐 传世作品 第1册
D014997,已出版,梁令瓚（傳）,汉至隋,大阪市立美術館,五星二十八宿神形圖/五星二十八宿神形圖卷(鈴木敬),絹本設色,27.5×489.7,卷,,,精品（戰國-唐）,日本,日本,1-01 先秦汉唐 传世作品 第1册,1-01 先秦汉唐 传世作品 第1册
D014999,已出版,顧愷之,唐,大英博物館,女史箴圖（官網）,絹本設色,24.37×343.75,卷,,,精品（戰國-唐）,欧洲,英国,1-01 先秦汉唐 传世作品 第1册,1-01 先秦汉唐 传世作品 第1册
D014990,已出版,顧愷之,唐,故宫博物院,列女仁智圖/列女圖(故宫),,25.8×471.8,卷,書畫目錄,佳品（有圖）,精品（戰國-唐）,中国大陆,北京,1-01 先秦汉唐 传世作品 第1册,1-01 先秦汉唐 传世作品 第1册
D014991,已出版,李昭道,唐,故宫博物院,山水人物圖,,,軸,,,,中国大陆,北京,1-01 先秦汉唐 传世作品 第1册,1-01 先秦汉唐 传世作品 第1册
D014992,已出版,李昭道,唐,故宫博物院,山水樓閣,,,卷,,,,中国大陆,北京,1-01 先秦汉唐 传世作品 第1册,1-01 先秦汉唐 传世作品 第1册
D005032,已出版,盧楞伽,唐,故宫博物院,六尊者像六開/ 1/6第三撥納撥西尊者 2/6第八嘎納嘎哈綴襟尊者 3/6第十一租查巴那塔噶尊者 4/6第十五鍋巴嘎尊者 5/6第十七嘎沙雅巴尊者 6/6第十八納答密答喇尊者,绢/紙本設色（官網）,30×58,册,書畫目錄,佳品（有圖）,精品（五代宋遼金）2,中国大陆,北京,1-01 先秦汉唐 传世作品 第1册,1-01 先秦汉唐 传世作品 第1册
D014993,已出版,吴道子,唐,故宫博物院,西旅貢獒圖,,,軸,,,,中国大陆,北京,1-01 先秦汉唐 传世作品 第1册,1-01 先秦汉唐 传世作品 第1册
D005027,已出版,閻立本,唐,故宫博物院,步輦圖,絹設色,38.5×129,卷,書畫目錄,佳品（有圖）,精品（戰國-唐）,中国大陆,北京,1-01 先秦汉唐 传世作品 第1册,1-01 先秦汉唐 传世作品 第1册
D005034,已出版,佚名,唐,故宫博物院,四朝選藻元册（1李思訓九成避暑頁；2趙佶枇杷山鳥頁；3宋人垂楊飛絮頁；4宋人山店風簾頁；5宋人層樓春眺頁；6宋人春江帆飽頁；7易元吉群猿摘果頁；8宋人南唐文會頁；9張敦禮松壑層樓頁；10王诜飛閣延風頁）,絹本設色,28.5×31.6,頁,書畫目錄,佳品（有圖）,精品（五代宋遼金）5,中国大陆,北京,1-01 先秦汉唐 传世作品 第1册,1-01 先秦汉唐 传世作品 第1册
D005026,已出版,展子虔,汉至隋,故宫博物院,游春圖,絹設色,43×80.5,卷,書畫目錄,佳品（有圖）,精品（戰國-唐）,中国大陆,北京,1-01 先秦汉唐 传世作品 第1册,1-01 先秦汉唐 传世作品 第1册
D015001,已出版,韓幹,唐,大都會博物館,照夜白圖,紙本水墨,30.8×33.5,卷,,,,北美,美国,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D014998,已出版,韓滉,唐,大原美術館,五牛圖,,,,,,,日本,日本,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D014996,已出版,佚名,唐,東寺,真言七祖像（五幅）,,,,,,,日本,日本,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D005028,已出版,韓滉,唐,故宫博物院,五牛圖,紙設色,24.1×140.2,卷,書畫目錄,佳品（有圖）,精品（戰國-唐）,中国大陆,北京,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D005029,已出版,韓滉,宋,故宫博物院,豐稔圖,絹本設色,48.8×51.5,卷,書畫目錄,,,中国大陆,北京,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D005033,已出版,陸曜,宋,故宫博物院,六逸圖,纸本設色,28.3×247.6,卷,書畫目錄,,,中国大陆,北京,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D005037,已出版,佚名,宋,故宫博物院,百馬圖,絹本設色,27×301.5,卷,書畫目錄,佳品（有圖）,精品（五代宋遼金）2,中国大陆,北京,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D005038,已出版,佚名,唐,故宫博物院,宫苑圖,絹設色,23.9×76.8（圖目）,卷,書畫目錄,佳品（有圖）,精品（五代宋遼金）4,中国大陆,北京,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D005042,已出版,佚名,宋,故宫博物院,京畿瑞雪圖,絹本設色,42.7×45.2,紈扇軸,書畫目錄,佳品（有圖）,精品（五代宋遼金）4,中国大陆,北京,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D005043,已出版,佚名,唐,故宫博物院,宫苑圖,絹設色,162.5×83.7,軸,書畫目錄,佳品（有圖）,精品（五代宋遼金）4,中国大陆,北京,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D005030,已出版,周昉,唐,故宫博物院,地官出游圖(殘),絹設色,24.1×51.4,卷,,,,中国大陆,北京,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D005031,已出版,周昉,唐,故宫博物院,揮扇仕女圖（圖目）/紈扇仕女圖（故宫）,絹設色,33.2×203.3,卷,書畫目錄,佳品（有圖）,精品（戰國-唐）,中国大陆,北京,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D014908,已出版,佚名,唐,崑崙堂美術館,迦理迦尊者像,麻布設色,65×33.5,,,,,中国大陆,江苏,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D014995,已出版,周昉,唐,遼寧省博物館,簪花仕女圖,絹設色,46×180,卷,書畫目錄,佳品（有圖）,精品（五代宋遼金）1,中国大陆,辽宁,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D014907,已出版,孫位,唐,上海博物館,高逸圖,絹本設色,45.3×169.1,卷,書畫目錄,佳品（有圖）,精品（戰國-唐）,中国大陆,上海,1-01 先秦汉唐 传世作品 第2册,1-01 先秦汉唐 传世作品 第2册
D015214,,佚名,唐,國立艾爾米塔什博物館,護法獸,泥塑彩繪,高90cm,,,,,欧洲,俄罗斯,1-03 先秦汉唐 俄藏敦煌藏经洞出土图像,
D015215,,佚名,唐,國立艾爾米塔什博物館,護法獸,泥塑彩繪,高90cm,,,,,欧洲,俄罗斯,1-03 先秦汉唐 俄藏敦煌藏经洞出土图像,
D015216,,佚名,元,國立艾爾米塔什博物館,佛背光,泥塑彩繪,高130cm寛120cm,,,,,欧洲,俄罗斯,1-03 先秦汉唐 俄藏敦煌藏经洞出土图像,
D015217,,佚名,宋,國立艾爾米塔什博物館,大迦葉,泥塑彩繪,高69cm,,,,,欧洲,俄罗斯,1-03 先秦汉唐 俄藏敦煌藏经洞出土图像,
D015218,,佚名,宋,國立艾爾米塔什博物館,菩薩,泥塑彩繪,高65cm,,,,,欧洲,俄罗斯,1-03 先秦汉唐 俄藏敦煌藏经洞出土图像,
D015219,,佚名,宋,國立艾爾米塔什博物館,阿難,泥塑彩繪,高69cm,,,,,欧洲,俄罗斯,1-03 先秦汉唐 俄藏敦煌藏经洞出土图像,
D015220,,佚名,汉至隋,國立艾爾米塔什博物館,菩薩,泥塑彩繪,高71cm,,,,,欧洲,俄罗斯,1-03 先秦汉唐 俄藏敦煌藏经洞出土图像,
D015221,,佚名,汉至隋,國立艾爾米塔什博物館,菩薩,泥塑彩繪,高65cm,,,,,欧洲,俄罗斯,1-03 先秦汉唐 俄藏敦煌藏经洞出土图像,
D015222,,佚名,汉至隋,國立艾爾米塔什博物館,大迦葉,泥塑彩繪,高91cm,,,,,欧洲,俄罗斯,1-03 先秦汉唐 俄藏敦煌藏经洞出土图像,
D015223,,佚名,汉至隋,國立艾爾米塔什博物館,僧,泥塑彩繪,高60cm,,,,,欧洲,俄罗斯,1-03 先秦汉唐 俄藏敦煌藏经洞出土图像,
D015224,,佚名,五代,國立艾爾米塔什博物館,供養僧頭部,泥塑,高10cm,,,,,欧洲,俄罗斯,1-03 先秦汉唐 俄藏敦煌藏经洞出土图像,
