iata,nx,ny
D015000,-912.8229638,-450.6420273
D014997,-618.7784872,243.5943015
D014999,-787.3966621,-652.2710192
D014990,-716.1556999,-723.4949989
D014991,-314.8817487,968.0772099
D014992,-695.8735782,743.023528
D005032,786.2866675,646.5889548
D014993,-300.6304551,-972.5972082
D005027,-704.2585772,-735.0808503
D005034,1259.948413,-301.4484127
D005026,-586.2245226,-573.3592322
D015001,962.9409105,330.2556629
D014998,708.0440709,731.435297
D014996,561.0728971,-849.4240426
D005028,486.461705,894.2477339
D005029,1007.86623,913.129598
D005033,1086.713219,-817.7128962
D005037,1346.02822,-194.4428764
D005038,1055.098215,56.61140563
D005042,-1674.941613,116.6687392
D005043,975.4484127,814.4484127
D005030,1060.679243,468.7259443
D005031,1078.084174,738.9069724
D014908,1032.448413,676.4484127
D014995,1082.05476,733.0801428
D014907,750.4738754,821.9324257
D015214,957.0982563,346.8240589
D015215,-575.8716995,-839.4616047
D015216,-1767.158725,54.5347781
D015217,-121.4484127,1418.551587
D015218,527.4771322,-1253.542131
D015219,-243.9484127,-1371.551587
D015220,-282.9760297,601.7886395
D015221,-571.8736474,-339.38994
D015222,-512.268443,424.0354258
D015223,664.1511835,33.58877007
D015224,756.3159438,-1130.303585
D015225,275.9641982,-605.0361653
D015227,-41.16954045,-1017.167178
D015229,445.3264751,493.8717755
D015230,-0.470173882,1017.999891
D015232,-795.746379,-1102.899678
D015233,-606.1626984,1460.551587
D015234,-421.4484127,-1454.551587
D015235,-117.5515873,-1368.551587
D015236,1253.687503,-527.1315243
D015237,-950.5515873,1060.551587
D015238,-1352.551587,238.4484127
D015239,1386.551587,232.4484127
D015240,-1229.692044,580.9109028
D015241,1325.329245,-305.1268458
D015242,676.4484127,-1383.551587
D015243,1365.551587,461.5515873
D015244,-1213.620916,1160.243626
D015245,-1152.435593,-1221.037757
D015246,1121.765353,1249.273186
D015247,286.6631895,1654.347369
D015248,-11.03159411,-1678.963759
D015249,1617.647153,-449.7317954
D015250,-1238.100258,1134.084984
D015251,-463.4427037,1613.772555
D015252,2045.448413,-1154.448413
D015253,-1223.448413,-783.4484127
D015254,1394.448413,-2024.448413
D015256,-1018.448413,436.4484127
D015257,-756.4484127,1652.448413
D015258,636.4484127,-1665.448413
