id,author,dynasty
0,閻立本（傳）,唐
1,梁令瓚（傳）,汉至隋
2,顧愷之,汉至隋
3,李昭道,唐
4,盧楞伽,唐
5,吴道子,唐
6,閻立本,唐
7,展子虔,隋
8,韓幹,唐
9,韓滉,唐
10,陸曜,宋
11,周昉,唐
12,孫位,唐
13,戴嵩（傳）,唐
14,顧愷之（傳）,唐
15,韓幹（傳）,唐
16,李思訓（傳）,唐
17,李昭道（傳）,唐
18,盧鴻（傳）,唐
19,唐人,唐
20,王維（傳）,唐
21,韋偃,唐
22,周昉（傳）,唐
23,崔白,宋
24,董源,五代
25,顧閎中（傳）,宋
26,郭熙,宋
27,黄筌,五代
28,李公麟,宋
29,李公麟（傳）,宋
30,祁序,宋
31,阮郜,宋
32,王居正（傳）,宋
33,王詵,宋
34,衛賢,宋
35,燕肅,宋
36,張先,宋
37,趙昌（傳）,宋
38,周文矩,宋
39,周文矩（傳）,宋
40,李唐,宋
41,梁師閔,宋
42,劉履中,宋
43,米友仁,宋
44,王希孟,宋
45,張擇端,宋
46,趙佶,宋
47,趙士雷,宋
48,李迪,宋
49,李迪（傳）,宋
50,馬和之,宋
51,馬和之（傳）,宋
52,揚無咎,宋
53,陳居中,宋
54,李嵩,宋
55,梁楷,宋
56,林椿,宋
57,劉松年,宋
58,馬麟,宋
59,馬遠,宋
60,毛益（傳）,宋
61,牧溪,宋
62,夏珪,宋
63,張茂,宋
64,趙伯駒,宋
65,趙伯驌,宋
66,趙芾,宋
67,陳清波,宋
68,陳容,宋
69,何筌,宋
70,李東,宋
71,趙孟堅,宋
72,朱紹宗,宋
73,陳及之（傳）,五代
74,胡瓌,五代
75,胡瓌（傳）,五代
76,楊世昌,宋
77,張珪,宋
78,趙霖,宋
79,郭熙（傳）,宋
80,巨然（傳）,宋
81,文同（傳）,宋
82,吴炳,宋
83,艷艷女史,宋
84,朱□,宋
85,朱銳,宋
86,馬遠（傳）,宋
87,樸菴,宋
88,趙葵,宋
89,朱□□,宋
90,惠崇（傳）,宋
91,李成,宋
92,張激,宋
93,趙佶（傳）,宋
94,蕭照,宋
95,徐禹功,宋
96,楊微,金
97,趙大亨,宋
98,朱惟德,宋
99,范寬,宋
100,關仝,五代
101,郭忠恕,五代
102,荊浩,五代
103,巨然,五代
104,徐熙,五代
105,趙幹,唐
106,趙喦,五代
107,崔愨,宋
108,高克明,宋
109,許道寧,宋
110,黄居寀,宋
111,惠崇,宋
112,牟仲甫,宋
113,文同,宋
114,徐崇嗣,五代
115,燕文貴,宋
116,易元吉,宋
117,趙昌,宋
118,趙令穰,宋
119,馮大有,宋
120,高宗,宋
121,許迪,宋
122,江參,宋
123,李安忠,宋
124,韓祐,宋
125,賈師古,宋
126,蘇漢臣,宋
127,王定國,宋
128,衛昇,宋
129,閻次平,宋
130,法常,宋
131,范安仁,宋
132,李□,宋
133,牟益,宋
134,程梁,清
135,葉肖嚴,宋
136,李贊華,五代
137,武元直,宋
138,陳容（傳）,宋
139,金大受,宋
140,李氏,宋
141,梁楷（傳）,宋
142,蘿窗,宋
143,毛松（傳）,宋
144,石恪（傳）,宋
145,宋汝志（傳）,宋
146,王李本（傳）,宋
147,夏珪（傳）,宋
148,牧溪（傳）,宋
149,玉澗,宋
150,李堯夫（傳）,宋
151,陸信忠,宋
152,宫素然,宋
153,龔開,宋
154,郭忠恕（傳）,宋
155,胡舜臣,宋
156,易元吉（傳）,宋
157,鄭思肖,宋
158,李唐（傳）,宋
159,胡直夫（傳）,宋
160,陸仲澗（傳）,宋
161,李確,宋
162,門無關（傳）,宋
163,馬公顯（傳）,宋
164,普悦,宋
165,閻次平（傳）,宋
166,丁野夫（傳）,宋
167,蘇漢臣（傳）,宋
168,馬麟（傳）,宋
169,於子明,宋
170,李成（傳）,宋
171,徐祚,宋
172,直翁,宋
173,趙璚,宋
174,李安忠（傳）,宋
175,董源（傳）,五代
176,米友仁（傳）,宋
177,閻仲（傳）,宋
178,貫休（傳）,五代
179,楊婕妤,宋
180,張□,宋
181,王齊翰,五代
182,翟院深（傳）,宋
183,夏□,宋
184,范寬（傳）,宋
185,蘇軾（傳）,宋
186,魯宗貴,宋
187,周季常,宋
188,朱銳（傳）,宋
189,陳居中（傳）,宋
190,高燾,宋
191,李永,宋
192,夏森（傳）,宋
193,趙光輔（傳）,宋
194,屈鼎（傳）,宋
195,趙克夐（傳）,宋
196,金處士,宋
197,李結,宋
198,李嵩（傳）,宋
199,劉松年（傳）,宋
200,閻次于（傳）,宋
201,直翁（傳）,宋
202,喬仲常,宋
203,太古遺民,宋
204,王利用,宋
205,徐熙（傳）,宋
206,李山（宋）,宋
207,李山,清
208,閻次于,宋
209,巖叟,宋
210,李公年,宋
211,王洪,宋
212,劉寀（傳）,宋
213,燕囗盛（傳）,宋
214,林庭珪,宋
215,佚名（舊傳李唐）,宋
216,趙令穰（傳）（官網）,宋
217,佚名（舊傳晋顧愷之）,宋
218,馬賁（傳）,宋
219,佚名（舊傳唐王維）,唐
220,張思恭（傳）（官網）,宋
221,李早,宋
222,崔白（傳）,宋
223,馬逵,宋
224,高克恭,元
225,李衎,元
226,李衎等,元
227,錢選,元
228,趙孟頫,元
229,趙孟頫等,元
230,（傳）黄公望,元
231,曹知白,元
232,黄公望,元
233,李士行,元
234,陸行直,元
235,任仁發,元
236,商琦,元
237,王迪簡,元
238,王振鵬,元
239,吴鎮,元
240,顏輝,元
241,張遜,元
242,趙雍,元
243,方從義,元
244,顧安,元
245,胡廷暉,元
