iata,nx,ny
0,-372.1969052,-168.6382413
1,-258.8099269,131.1969052
2,-644.8921205,-687.9569761
3,-145.1969052,270.1969052
4,552.1969052,374.8585851
5,-104.1969052,-503.1969052
6,-364.1969052,-394.4822471
7,-585.3846138,-649.3762515
8,666.1499141,193.1118052
9,369.8030948,488.2087115
10,633.4651213,-439.1969052
11,949.2308303,608.174357
12,591.8030948,616.1969052
13,1850.803095,876.8030948
14,1123.803095,-840.576715
15,525.1969052,-51.60929761
16,501.1969052,-206.8030948
17,644.8030948,-1763.803095
18,973.841979,340.2452434
19,588.8018848,-470.1969052
20,655.1969052,-473.8030948
21,825.752959,-514.1969052
22,-305.1969052,-34.19690519
23,-287.1969052,785.1969052
24,-569.1969052,103.1969052
25,-724.1969052,-40.19690519
26,971.1969052,84.35749725
27,734.1969052,289.7287667
28,511.1969052,517.1969052
29,111.6732224,-995.1969052
30,812.1969052,-312.2493392
31,437.2395537,904.1969052
32,532.7550959,-776.1969052
33,-590.1969052,352.1969052
34,191.1775525,-1020.196905
35,-86.04036853,951.1969052
36,72.56957083,-1069.196905
37,94.94856538,982.1969052
38,146.9167809,761.1969052
39,-340.1969052,-789.1969052
40,-727.1969052,231.6542646
41,836.1969052,365.8390976
42,1570.803095,-1624.803095
43,196.1672766,-1022.196905
44,-910.1969052,226.9734512
45,587.8676669,-734.1969052
46,-241.1969052,726.1969052
47,-743.1969052,386.483999
48,542.1969052,305.1969052
49,28.80309481,993.1969052
50,-257.6395531,-781.1969052
51,430.2859695,-937.1969052
52,146.1969052,-684.1969052
53,-994.1969052,-216.1686292
54,788.1969052,164.1969052
55,-97.19690519,-942.1969052
56,693.1969052,-482.1969052
57,934.1969052,237.8030948
58,-63.80480157,1047.196905
59,-695.1969052,-207.1969052
60,-72.80309481,1609.803095
61,942.1969052,-117.1201908
62,-166.0717397,-730.1969052
63,400.1969052,-386.1969052
64,-209.8030948,983.1969052
65,-126.4141489,693.1969052
66,-79.30880824,-777.1969052
67,1210.803095,-701.1969052
68,-598.1969052,133.1969052
69,-117.8030948,855.1969052
70,-412.1969052,-701.1969052
71,30.19690519,751.1969052
72,-591.1969052,102.1969052
73,662.1969052,-169.8828829
74,-715.1969052,-224.8030948
75,535.1969052,169.1969052
76,908.224083,-334.9861934
77,-402.1969052,388.1969052
78,-1880.803095,402.7437266
79,-929.1969052,87.65725564
80,-189.1969052,618.1969052
81,-1015.803095,1198.008246
82,403.1969052,352.1969052
83,-232.8030948,1619.126294
84,314.1969052,790.1969052
85,300.1969052,-663.1969052
86,-700.1969052,797.7772367
87,215.1969052,-633.1969052
88,-731.1969052,-276.1969052
89,801.1969052,120.9297645
90,-1049.196905,-738.6840909
91,148.049884,-831.1969052
92,-238.8242438,905.1969052
93,1052.196905,-240.4789921
94,-922.1969052,-86.39957181
95,-1507.777999,704.9909189
96,-1893.803095,-1296.469761
97,-850.1969052,127.4975442
98,111.1969052,871.1969052
99,-609.705319,931.1969052
100,-732.0107844,1686.803095
101,-283.2829248,-728.1969052
102,-716.1969052,-426.8030948
103,724.1969052,246.2091149
104,647.1969052,545.6614324
105,-309.8030948,519.1969052
106,366.027295,-735.1969052
107,309.8030948,1024.196905
108,916.8030948,2000.803095
109,812.1969052,-36.42888755
110,929.1969052,907.8030948
111,-777.1969052,608.8030948
112,-810.1969052,420.8030948
113,-546.1969052,-285.1969052
114,106.8030948,649.1969052
115,-285.2647645,718.1969052
116,976.1969052,305.4982728
117,69.80309481,1001.196905
118,72.83198875,-825.1969052
119,1993.112143,396.264913
120,363.4240744,-1883.22918
121,523.1969052,601.1969052
122,-846.1969052,921.631113
123,-1022.196905,154.5929314
124,823.8030948,-827.1969052
125,-9.196905188,812.1969052
126,833.1969052,-141.4299607
127,371.8030948,1067.196905
128,-463.8695337,1406.772352
129,-992.1969052,-266.6683085
130,-355.1519632,-820.1969052
131,893.8787999,-1690.561315
132,-1107.717198,1752.803095
133,377.1001923,-734.1969052
134,-260.501515,-1397.196905
135,632.1969052,417.1969052
136,-827.8312268,-1288.181216
137,668.6922622,1118.446811
138,717.8030948,972.1969052
139,1379.724036,1110.803095
140,-310.1969052,786.1969052
141,1082.142529,-336.1969052
142,-1362.966972,836.8780779
143,186.2666964,889.1969052
144,-1450.904053,739.5130105
145,-1217.803095,1681.621734
146,-752.1969052,216.1969052
147,-312.1969052,638.1969052
148,516.1969052,284.1969052
149,-862.1969052,256.4095951
150,2101.967488,-289.2316662
151,669.1969052,-105.1969052
152,1110.380505,804.1969052
153,-418.1969052,438.1969052
154,-779.1969052,-896.8030948
155,1040.600132,827.8030948
156,101.1969052,607.1969052
157,103.1969052,-660.1969052
158,827.6855667,750.1969052
159,-247.1969052,691.1969052
160,-877.1969052,-210.1969052
161,542.203864,-519.9430073
162,550.1969052,393.1969052
163,85.57849282,-854.1969052
164,-91.77304389,-1038.196905
165,-2126.803095,-1211.803095
166,-685.4236638,400.1969052
167,-839.1969052,-8.247820958
168,56.19690519,936.1969052
169,-571.1969052,606.1969052
170,88.82546659,893.1969052
171,-778.8243509,1448.803095
172,338.1969052,1744.045885
173,914.7280547,8.196905188
174,-1014.196905,101.8030948
175,673.1969052,90.80309481
176,586.8030948,1328.908746
177,729.8030948,-847.1969052
178,-653.8030948,-765.1969052
179,32.19690519,743.7445897
180,16.80309481,1809.469761
181,-71.40189606,-651.1969052
182,583.8030948,820.2120313
183,-1019.196905,-464.1709878
184,-63.80309481,-754.1969052
185,-77.19690519,881.1969052
186,-951.1969052,-14.19690519
187,-949.7887236,-13.19690519
188,-1953.575421,-723.2723929
189,-769.1969052,-879.8030948
190,-673.1969052,1.803094812
191,-1294.803095,-2010.803095
192,854.1969052,818.8030948
193,1737.409297,666.8389033
194,-1501.803095,624.7851367
195,1202.108833,553.0294373
196,-792.8030948,1048.194305
197,-722.1969052,847.1364281
198,199.8030948,-861.1969052
199,-219.1969052,724.1969052
200,675.8030948,991.0590848
201,225.9057765,1283.803095
202,846.2968834,1680.803095
203,862.1969052,-623.8030948
204,-879.1969052,164.8030948
205,-1343.236661,482.1969052
206,-1985.803095,1042.803095
207,-1183.196905,-804.1969052
208,-393.8030948,1980.803095
209,92.2153449,610.1969052
210,245.2792853,-1966.803095
211,239.8030948,-929.1969052
212,-1286.803095,-829.1969052
213,569.1364281,-2160.803095
214,696.1969052,30.19690519
215,1038.875271,-1748.803095
216,-44.19690519,-1374.179061
217,840.1969052,-1284.803095
218,-410.1969052,-618.1969052
219,1492.803095,1215.803095
220,-739.1969052,870.2679231
221,1862.162405,103.0810341
222,-298.2771057,-1856.863041
223,-891.1969052,-43.30368783
224,-275.1969052,908.1969052
225,700.1969052,-612.1969052
226,-127.6228296,-1089.196905
227,332.8030948,1152.196905
228,687.1969052,-570.1969052
229,895.1969052,-1428.803095
230,-1095.196905,-446.8030948
231,969.1969052,353.480502
232,143.4299416,1168.196905
233,1166.196905,262.5276755
234,-888.1969052,217.1969052
235,-894.1969052,601.1167878
236,-1022.639667,-731.990556
237,1017.196905,-1263.803095
238,728.1969052,-562.1969052
239,1052.196905,130.8030948
240,1089.196905,-41.48507182
241,958.1969052,-244.1969052
242,888.1969052,279.2527025
243,877.1969052,383.8999971
244,1103.196905,78.80309481
245,54.19690519,-1053.196905
246,-204.1969052,-1581.231666
247,-191.1969052,-916.1969052
248,894.1969052,367.1969052
249,796.1969052,390.1969052
250,667.1969052,-592.1969052
251,-1039.196905,133.181015
252,1126.196905,64.87684844
253,-1084.196905,213.7030393
254,-1487.040031,129.955019
255,1442.803095,-878.1969052
256,-825.1969052,464.1969052
257,1069.610019,-675.1193863
258,-851.1969052,-411.1969052
259,556.1969052,-644.1969052
260,-1092.196905,761.8030948
261,473.8033298,-1021.196905
262,-1355.803095,977.2476679
263,-900.1969052,-323.1969052
264,1015.803095,-1110.135985
265,220.5294031,1087.196905
266,-1123.196905,-280.8030948
267,598.9111514,1082.196905
268,-30.19690519,988.1969052
269,-1127.196905,35.8683664
270,126.8030948,-1098.196905
271,1160.803095,1350.344039
272,-834.1969052,454.1969052
273,1150.196905,-461.8260977
274,-295.3662364,985.1969052
275,983.1969052,-192.7788909
276,-253.1969052,904.1969052
277,995.9682324,-1067.196905
278,674.1969052,642.1108443
279,-1157.196905,107.1016028
280,1058.196905,166.6946618
281,1852.467458,-497.1969052
282,-1652.803095,819.5570113
283,52.80309481,1093.196905
284,1021.196905,-87.19690519
285,-1960.136428,612.8030948
286,-1040.196905,128.8030948
287,-464.1969052,-1325.951558
288,575.1969052,662.1969052
289,-481.1969052,-741.1969052
290,798.1969052,-400.1969052
291,-1069.196905,-123.8030948
292,1004.144186,1510.803095
293,416.8030948,1156.196905
294,-983.1969052,54.19690519
295,704.1969052,509.1969052
296,-223.1969052,-918.1969052
297,-978.1969052,107.1969052
298,-310.8030948,1073.196905
299,-128.8526036,-1166.196905
300,640.1969052,666.1969052
301,-1092.196905,-116.8030948
302,30.80309481,-1067.196905
303,-1169.196905,332.7634354
304,770.1969052,518.1969052
305,171.990556,-2179.273891
306,-1990.071323,444.7448366
307,379.1969052,-798.1969052
308,-1075.73253,-930.1969052
309,-874.1969052,382.1969052
310,608.8030948,-2353.803095
311,-1378.601911,-377.8030948
312,157.1969052,934.1969052
313,535.1969052,709.1969052
314,-946.1969052,-170.1969052
315,1004.196905,-45.80309481
316,934.1969052,288.1698519
317,22.32946934,-1087.196905
318,-1211.358066,348.1969052
319,794.3752419,-556.1969052
320,940.1969052,-256.1969052
321,945.2877801,1021.196905
322,-1867.803095,1757.803095
323,-355.1969052,1168.756798
324,1091.196905,-72.90903463
