x,y,z,dynasty,area,id,name
1083.7,730,876,唐,1-01 先秦汉唐 传世作品 第2册,D005031,揮扇仕女圖（圖目）/紈扇仕女圖（故宫）
1075.6,742.5,253,唐,1-01 先秦汉唐 传世作品 第2册,D014995,簪花仕女圖
303.2,-971.8,437,唐,1-04 先秦汉唐 英藏敦煌藏经洞出土图像,D017837,広目天像
413.7,-930.1,228,唐,1-04 先秦汉唐 英藏敦煌藏经洞出土图像,D017838,菩薩像(寶手菩薩？)
-282.6,1064.6,998,唐,1-04 先秦汉唐 英藏敦煌藏经洞出土图像,D017906,佛坐像
-232.6,1090.6,176,唐,1-04 先秦汉唐 英藏敦煌藏经洞出土图像,D017907,佛坐像
-147.4,1007.3,217,唐,1-04 先秦汉唐 英藏敦煌藏经洞出土图像,D017874,觀世音菩薩像幡斷片
-213.4,1036.6,225,唐,1-04 先秦汉唐 英藏敦煌藏经洞出土图像,D017881,觀世音菩薩像幡
-185.6,-1150.4,164,唐,1-04 先秦汉唐 英藏敦煌藏经洞出土图像,D017922,觀世音菩薩像
-177.3,-1002.4,186,唐,1-04 先秦汉唐 英藏敦煌藏经洞出土图像,D017923,天蓋圖
1048.6,353.6,112,唐,1-04 先秦汉唐 英藏敦煌藏经洞出土图像,D018885,華蓋
1096.4,319.6,407,唐,1-04 先秦汉唐 英藏敦煌藏经洞出土图像,D018886,
975.8,-289.9,220,唐,1-07 先秦汉唐 台北唐画,D019764,猿馬
986.6,-251,900,唐,1-07 先秦汉唐 台北唐画,D019765,牧馬圖
781,-653,976,唐,1-07 先秦汉唐 台北唐画,D019763,"江干雪意圖
别名（傳　唐 王維 江干雪意圖）"
748.2,-690.3,915,唐,1-07 先秦汉唐 台北唐画,D019760,雙騎圖
-991.5,-230.7,396,唐,1-07 先秦汉唐 台北唐画,D019756,王會圖
-1004.1,-167.4,526,唐,1-07 先秦汉唐 台北唐画,D019766,演樂圖
-1017.7,-26.5,231,唐,1-07 先秦汉唐 台北唐画,D019767,內人雙陸圖
-1017.9,-16.9,80,唐,1-07 先秦汉唐 台北唐画,D019768,蠻夷執貢圖
127.1,1354.1,907,宋,2-01 宋画全集 故宫藏品,D016500,寫生蛺蝶圖
110.7,1355.5,146,宋,2-01 宋画全集 故宫藏品,D016511,文苑圖
-1269.2,488.6,800,宋,2-01 宋画全集 故宫藏品,D016287,長夏江寺圖
-1267.9,491.9,889,宋,2-01 宋画全集 故宫藏品,D016288,採薇圖
-163.2,1350.2,777,宋,2-01 宋画全集 故宫藏品,D016498,江山秋色圖
-87.8,1357.2,674,宋,2-01 宋画全集 故宫藏品,D016499,萬松金闕圖
1210.7,-619.4,793,宋,2-01 宋画全集 故宫藏品,D016267,湖山春曉圖
1200,-639.9,824,宋,2-01 宋画全集 故宫藏品,D016268,瑤臺步月圖
-77.2,-1357.8,3,宋,2-01 宋画全集 故宫藏品,D016291,疏柳寒鴉圖
-64.4,-1358.5,187,宋,2-01 宋画全集 故宫藏品,D016292,雪棧行騎圖
278.9,-1331.1,869,宋,2-02 宋画全集 上博藏品,D016968,雪竹圖
313.4,-1323.4,562,宋,2-02 宋画全集 上博藏品,D016961,煙江慾雨圖
-1244.9,397.9,901,五代,2-04 宋画全集 台北宋画,D017526,洞天山堂
-1233.6,431.9,256,五代,2-04 宋画全集 台北宋画,D017527,龍宿郊民圖
1216.6,477.7,684,五代,2-04 宋画全集 台北宋画,D017529,層巖叢樹圖
1231.3,438.5,847,五代,2-04 宋画全集 台北宋画,D017530,蕭翼賺蘭亭圖
-1166,-590.5,138,五代,2-04 宋画全集 台北宋画,D017735,出獵圖
-1180.1,-561.8,422,五代,2-04 宋画全集 台北宋画,D017736,回獵圖
-796.4,1102.5,905,宋,2-04 宋画全集 台北宋画,D017540,谿山行旅
